address_new,quarters_count,geometry
"улица Авиаконструктора Микояна 14 корп 2, Москва, Россия, 125252",226,POINT (37.52647 55.79395)
"улица Авиаконструктора Микояна 14 корп 3, Москва, Россия, 125252",160,POINT (37.52493 55.79282)
"улица Авиаконструктора Микояна 14 корп 4, Москва, Россия, 125252",260,POINT (37.52339 55.79346)
"улица Авиаконструктора Миля 1, Москва, Россия, 109156",188,POINT (37.85085 55.68843)
"улица Авиаконструктора Миля 2 корп 1, Москва, Россия, 109431",152,POINT (37.84839 55.68711)
"улица Авиаконструктора Миля 3, Москва, Россия, 109156",180,POINT (37.85277 55.68759)
"улица Авиаконструктора Миля 4 корп 1, Москва, Россия, 109431",331,POINT (37.85087 55.68589)
"улица Авиаконструктора Миля 4 корп 2, Москва, Россия, 109431",55,POINT (37.84993 55.68522)
"улица Авиаконструктора Миля 7, Москва, Россия, 109156",163,POINT (37.8549 55.68641)
"улица Авиаконструктора Миля 8 корп 1, Москва, Россия, 109431",167,POINT (37.853 55.68472)
"улица Авиаконструктора Миля 11 корп 1, Москва, Россия, 109431",194,POINT (37.85662 55.68253)
"улица Авиаконструктора Миля 11 корп 2, Москва, Россия, 109431",1,POINT (37.85799 55.68287)
"улица Авиаконструктора Миля 14, Москва, Россия, 109431",13,POINT (37.85561 55.68224)
"улица Авиаконструктора Миля 15 корп 1, Москва, Россия, 109431",200,POINT (37.85762 55.68101)
"улица Авиаконструктора Миля 16, Москва, Россия, 109431",132,POINT (37.85615 55.68139)
"улица Авиаконструктора Миля 19, Москва, Россия, 109431",328,POINT (37.85908 55.67945)
"улица Авиаконструктора Миля 20, Москва, Россия, 109431",2,POINT (37.85695 55.68007)
"улица Авиаконструктора Миля 24, Москва, Россия, 109431",129,POINT (37.85784 55.67869)
"улица Авиаконструктора Миля 26, Москва, Россия, 109431",312,POINT (37.85834 55.67739)
"улица Авиаконструктора Петлякова 5, Москва, Россия, 142750",262,POINT (37.30087 55.62323)
"улица Авиаконструктора Петлякова 7, Москва, Россия, 142750",262,POINT (37.30156 55.62258)
"улица Авиаконструктора Петлякова 9, Москва, Россия, 142750",262,POINT (37.30243 55.62195)
"улица Авиаконструктора Петлякова 11, Москва, Россия, 142750",243,POINT (37.30346 55.62145)
"улица Авиаконструктора Петлякова 13, Москва, Россия, 142750",402,POINT (37.30506 55.62061)
